umeta_id,user_id,meta_key,meta_value
194,10,length,85
368,14,length,56
1251,28,length,50
323,1,length,45
421,3,length,124
654,18,length,65
536,16,length,56
4808,96,length,45
719,4,length,0
751,19,length,0
782,20,length,0
813,21,length,0
840,22,length,0
963,23,length,50
988,24,length,42
1126,26,length,25
1148,25,length,36
1337,30,length,
1372,29,length,25
1484,33,length,
3391,64,length,66
1667,37,length,38
1791,39,length,45
4709,94,length,35
1885,40,length,45
1930,41,length,47
1974,42,length,33
2094,43,length,51
4755,95,length,27
2199,32,length,58
2346,44,length,58
2386,45,length,74
4647,93,length,41
2447,46,length,44
2489,31,length,35
2534,47,length,53
2660,50,length,29
2705,51,length,
2752,52,length,19
2789,49,length,50
2834,53,length,50
2976,55,length,40
3021,56,length,44
3068,57,length,35
4541,91,length,58
3198,60,length,43
3434,65,length,31
3480,66,length,66
3557,67,length,31
3654,69,length,19
3698,70,length,28
3789,73,length,38
4456,89,length,31
3871,76,length,49
3911,77,length,31
3959,78,length,38
4002,79,length,31
4584,92,length,28
4047,80,length,24
4091,81,length,31
4175,83,length,26
4221,84,length,34
4268,85,length,45
4315,86,length,66
4364,87,length,35
4857,97,length,41
4935,100,length,29
4982,101,length,32
5049,102,length,29
5092,103,length,35
5138,104,length,52
5213,106,length,35
5256,107,length,45
5300,108,length,40
5399,109,length,31
5461,110,length,43
5501,111,length,27
5551,112,length,45
5588,113,length,40
5670,114,length,34
5732,116,length,39
5769,117,length,38
5901,115,length,44
5869,119,length,52
5944,120,length,34
5984,121,length,31
6022,122,length,49
6067,123,length,42
6104,124,length,43
6144,125,length,49
6183,126,length,33
