provider,hour,date,boat_length,dockage,availability
City Winery on the Chicago Riverwalk,11:00 AM,2020-07-25,67,210,143
City Winery on the Chicago Riverwalk,12:00 PM,2020-07-25,67,210,143
City Winery on the Chicago Riverwalk,13:00 PM,2020-07-25,42,210,168
City Winery on the Chicago Riverwalk,14:00 PM,2020-07-25,42,210,168
City Winery on the Chicago Riverwalk,15:00 PM,2020-07-25,42,210,168
City Winery on the Chicago Riverwalk,17:00 PM,2020-07-25,50,210,160
City Winery on the Chicago Riverwalk,18:00 PM,2020-07-25,50,210,160
City Winery on the Chicago Riverwalk,19:00 PM,2020-07-25,50,210,160
Pizzeria Portofino,13:00 PM,2020-07-25,50,210,160
Pizzeria Portofino,14:00 PM,2020-07-25,50,210,160
Pizzeria Portofino,15:00 PM,2020-07-25,50,210,160
Pizzeria Portofino,19:00 PM,2020-07-25,36,210,174
Pizzeria Portofino,20:00 PM,2020-07-25,36,210,174
Pizzeria Portofino,21:00 PM,2020-07-25,36,210,174
